-ly	のように、のような
-al	のような、こと、もの
-ion, -tion	こと、もの
-able, -ible	できる、しうる
-or, -er, -tor, -ier, -eer	人、もの
-ed	のような
-ive	のような、もの、こと
-ing	こと、もの、のような
-ate	する、こと、もの
-ation	すること、するもの
-ent, -ant	のような、人、もの
-ity, -ty	こと
-ic	のような
-ance, -ence	もの、こと
-ize, -ise	する
-ist	専門家、主義者、人
-ness	こと
-ment	こと
-ous	のような
-logy	学問
-y, -cy	こと、もの、のような
-ful	満ちたような
-less	〜が無いような
-ism	主義、主張
-ture, -ure	こと、もの
-ary, -ery, -ry	こと、もの、のような、場所
-ify	する
-nomy	法、方法、管理、規則
-ish	のような、する
-ory	場所、こと、のような
-ar	のような
-age	こと
-en	する、のような
-ian, -an	人
-ics	学問
-ee	人
-pathy	感情
-ship	関係、姿勢、地位
-fold	倍
-graphy	書かれたもの
-phile, -phila	愛するもの
-hedron	面体
-ion	拡大
-ty	10 の集まり
-scope	見るもの
-phobia	恐怖症
-teen	10 以上
-cracy	政治
-ward	方向
-th	番目
-hood	状態
-ess	女性
-oid	形
-cide	殺すこと、殺すもの
-le	反復
-tude	こと
-ose	糖の化学物質
-an	のような
-fic	のような
-in	化学物質
-ium	物質
-osis	病気
